메뉴 이름,메뉴 설명,재료,조리 과정
가오리조림,가오리를 양념과 함께 조린 음식이다.,"가오리, 간장, 고춧가루, 설탕, 맛술, 양파, 고추, 대파, 무, 마늘, 생강","1. 가오리를 깨끗하게 손질하여 큼직하게 토막을 낸다. 이때, 가오리는 생가오리를 쓰거나 꼬들꼬들한 맛을 살리려면 하루에서 사흘 정도 말린다. <br>2. 간장, 고춧가루, 설탕, 맛술 등을 넣어 양념장을 준비한다. 양파는 채 썰고, 고추와 대파는 어슷하게 썬다. 무도 납작하게 썰어둔다. 마늘과 생강은 다져서 준비한다. <br>3. 달구어진 냄비에 무를 깔고 손질한 가오리를 넣은 뒤 양념장과 준비한 재료를 마저 넣어 조린다. "
가오리무침,가오리를 양념과 함께 조린 음식이다.,"가오리, 미나리, 밤, 당근, 풋고추, 붉은 고추","1. 가오리는 껍질을 벗겨서 결 반대로 썬다. 손질한 가오리를 막걸리를 새콤달콤할 정도로 넣어 삭히는데, 여름에는 약 40분 정도, 겨울은 4시간 정도 담가 놓으면 된다. 가오리조림은 살이 부드럽고 뼈 또한 딱딱하지 않아, 뼈째 맛볼 수 있는 요리이다. <br> 2. 미나리는 3㎝ 길이로 썰고, 밤은 넓적하게 썰어놓는다. 당근은 어슷 썰고, 풋고추 길게 채 썰고, 붉은 고추는 잘게 썰어 놓는다.<br>3.  가오리무침을 하기 하루 전에 양념을 만들어 놓는데, 배즙이 나오도록 배를 넣고 무친다. <br>4. 양념에 손질해 놓은 가오리와 채소를 넣고 버무린다. <br>5. 마지막에 식초와 통깨를 약간 넣는다. "
가오리매운탕,얼큰하고 담백하고 깔끔한 가오리 매운탕,가오리(간재미) 1개 육수티백 2개 된장 0.5~1T 고춧가루 5T 다진마늘 2T 다시다 1T 고추 2T 무 적당량 미나리 적당량,"1. 냄비에 물을 넣고 육수티백2, 다진마늘1,된장 0.5, 고춧가루5 넣고 끓입니다. <br> 2. 손질한 가오리, 무도 넣어주고 고추도 넣어주고 다시다로 간 맞춰주세요. <br>3. 미나리랑 파도 썰어 넣어줍니다. <br>4. 보글보글 끓여주면 완성"
가자미구이,손질한 가자미에 소금을 쳐 석쇠나 팬에 구워 먹는 요리,"가자미, 소금","1. 싱싱한 가자미의 내장을 제거한다. 내장 부분을 제거할 때는 내장의 각 부위가 터지지 않도록 조심하여 빼는 것이 중요하다.<br>2. 가자미의 비늘과 껍질을 벗겨내고 깨끗이 씻는다. <br>3. 가자미를 석쇠 위에 올리고 소금을 친 뒤, 앞뒤로 노릇하게 굽는다. <br>4. 팬에 구울 때는, 밀가루나 녹말가루 등을 입힌 뒤 기름을 두른 팬에 올려 소금을 치고 앞뒤로 튀기듯 구워낸다."
"가자미조림
",손질한 가자미에 양념장을 얹어 무와 함께 담백하게 조린 음식,"가자미, 무, 간장, 고춧가루, 설탕","1. 싱싱한 가자미의 내장을 제거한다. 내장 부분을 제거할 때는 내장의 각 부위가 터지지 않도록 조심하여 빼는 것이 중요하다.<br>2. 가자미의 비늘과 껍질을 벗겨내고 깨끗이 씻은 뒤 반으로 자른다. <br>3. 무는 네모 썰기 하고, 대파는 잘게 다져 놓는다. 간장, 다진 파·마늘, 설탕, 고춧가루, 깨를 섞어 양념장을 만든다. <br>4. 얕은 냄비 바닥에 무를 올리고 그 위에 가자미를 얹는다. 만들어 놓은 양념장을 곳곳에 잘 뿌려 놓는다. 여기에 물을 조금 부은 뒤 뚜껑을 덮어 서서히 조린다. <br>5. 매운 맛을 선호하는 경우, 양념장에 고추장울 첨가하면 매콤한 맛을 즐길 수 있다."
가자미식해,"가자미식해는 가자미에 조밥과 고춧가루, 무채, 엿기름을 한데 버무려 삭힌 것으로 새콤하면서도 매운맛이 독특하다. 술안주나 밥반찬으로 잘 어울리며 생선과 밥의 조화라는 점에서 일본 '스시'의 원조라고 볼 수 있다.","가자미 10마리, 메좁쌀 1컵, 무 250g, 굵은 소금 1컵, 마늘 80g, 대파 50g, 생강 20g, 고춧가루 1컵, 엿기름 1/2컵, 설탕 1작은술, 꽃소금 3큰술","1. 가자미는 노랑 참가자미를 골라 비늘과 내장을 제거한 후 굵은 소금을 살살 뿌려 하루 동안 절여 둔다.<br>2. 절여진 가자미는 이틀 정도 채반에 널어 꾸덕꾸덕하게 말린다.<br>3. 무는 굵게 채 썰어 굵은 소금을 뿌려 절인 후 물에 헹구어 물기를 꼭 짠다.<br>4. 엿기름은 갈거나 빻아 고운 체로 친 다음 하얗고 고운 엿기름 가루만 모은다.<br> 5. 메좁쌀은 고슬고슬하게 밥을 지어 식혀둔다.<br>6. 꾸덕꾸덕하게 말린 가자미를 한입 크기로 토막내 썰고 절인 무, 메조밥에 고춧가루 등의 식해양념을 넣어 골고루 버무린다.<br>7. 부족한 간은 소금으로 맞추고 항아리에 꼭꼭 눌러 담아 서늘한 곳에서 4~5일간 삭힌다."
가자미전,,"반건조 가자미 2마리, 달걀 1개, 밀가루 1/4컵, 소금(약간), 식용유(적당량)<br>
가자미 양념 (소금 1작은술, 청주 1/2큰술, 후춧가루)","1. 반건조 가자미는 다듬어 씻은 후 적당한 크기로 토막을 낸다.<br>
2. 1을 분량의 가자미 양념을 섞어 10분 정도 재운다.<br> 3. 달걀은 소금을 약간 넣어 풀어둔다.<br>4. 2의 가자미에 밀가루를 앞뒤로 살짝 묻힌 후 3의 달걀옷을 입혀 프라이팬에 식용유를 두르고 앞뒤로 노릇하게 지진다."
가지밥,,"쌀 2컵, 가지 3~4개, 물 2.5컵,
<br>양념장 :  국간장 3큰술, 진간장 1.5큰술, 물 1큰술, 다진대파 ⅓대, 다진마늘 1큰술, 고춧가루 1큰술, 참기름 1큰술, 깨소금 약간","1. 가지는 어슷하게 썰거나 길게 잘라요. 너무 얇게 썰면 물러지니 약간 도톰하게 썰어요.<br> 2. 냄비에 물과 쌀, 가지를 넣고 끓여요.<br> 3. 밥물이 잦아들기 시작하면 가지와 뒤적여준 후에 불을 줄이고 뚜껑을 닫아주세요. <br> 4. 67분 정도 약불로 뜸을 들인 후 불을 꺼요.<br> 5. 불을 끈 상태로 10분 정도 뜸을 들인 후 밥을 푸세요.<br> 6. 양념장과 곁들여냅니다."
가지나물,가지를 길게 반 갈라 찜통에 찐 후 찢어 갖은 양념에 무쳐 먹는 나물이다. 찐 가지는 물기를 살짝 짠 뒤 무쳐야 물이 덜 생겨서 맛있다. 여름에 많이 해 먹는다.,"가지 (큰 것 기준) 2개, 국간장 2작은술, 다진마늘 1작은술, 다진파 1작은술, 깨소금 ½작은술, 참기름 1작은술","1. 가지를 세로로 ½¼등분해요.<br>2. 가지를 그릇에 넣고 랩을 덮거나 비닐에 넣고 전자레인지 강에서 3분간 익혀줍니다.<br>가지는 찜통에 쪄도 되고 밥지을때 쌀 위에 올려서 같이 익혀도 됩니다.<br>3. 전자레인지에서 꺼낸 가지를 비닐에서 꺼내지말고 12분 정도 부드럽게 뜸을 들여요.<br>4. 가지를 꺼내서 손가락 굵기 정도로 가른 후 가로로 3,4등분해줘요.<br>5. 가지의 물기를 짠 후 양념에 살살 버무려주세요."
가지볶음,,"재료(4인분)- 가지 3개, 양파 1/2개, 청양고추 1개, 홍고추 1개, 대파 1/4개, 참기름 1큰술, 통깨 약간, 식용유 적당량<br>양념 : 간장 2큰술, 굴소스 1큰술, 맛술 1큰술, 고춧가루 1작은술, 설탕 1/2큰술, 다진마늘 1/2큰술, 후춧가루 약간","1. 가지를 길쭉길쭉하게 썰어요.<br> 2. 프라이팬에 식용유 ½큰술을 두르고 가지를 지져주세요.<br>3. 중간에 나머지 식용유 ½큰술을 마저 두르고 뒤집어서 가지를 익혀요.<br>4. 마늘과 생강은 편으로 썰고, 청양고추는 채썰고, 파는 송송 썰어 줍니다.<br>5. 우묵한 팬에 맛간장과 물을 넣어 자글 자글 끓어오르면 청양고추와 마늘, 생강,파를 넣어요.<br>6. 양념장에 가지를 넣어서 볶아줍니다.<br>
7. 가지에 간이 배어들면 불을 끄고 참기름과 통깨 후추를 조금 넣어요."
